Index, Heading, X, Y, East, North, Velocity
3, -89.6503, 204.519, 1777.08, 197.86, 725.289, 45.6058
3, -89.6509, 204.52, 1776.91, 197.865, 725.12, 45.7
3, -89.6512, 204.521, 1776.76, 197.87, 724.963, 45.7945
3, -89.6501, 204.524, 1776.29, 197.883, 724.495, 45.9844
3, -89.649, 204.525, 1776.09, 197.889, 724.292, 45.9844
3, -89.6476, 204.526, 1775.87, 197.895, 724.078, 46.0795
3, -89.6458, 204.527, 1775.63, 197.902, 723.839, 46.1751
3, -89.6443, 204.528, 1775.46, 197.907, 723.665, 46.2712
3, -89.6419, 204.53, 1775.2, 197.915, 723.408, 46.3676
3, -89.6378, 204.532, 1774.77, 197.927, 722.977, 46.4646
3, -89.6361, 204.533, 1774.59, 197.933, 722.792, 46.5621
3, -89.6335, 204.535, 1774.29, 197.941, 722.498, 46.6598
3, -89.6325, 204.536, 1774.16, 197.945, 722.363, 46.7581
3, -89.631, 204.537, 1773.93, 197.952, 722.137, 46.8568
3, -89.6285, 204.539, 1773.52, 197.964, 721.724, 46.9556
3, -89.6275, 204.541, 1773.28, 197.971, 721.489, 47.0545
3, -89.6268, 204.542, 1773.01, 197.979, 721.221, 47.1533
3, -89.6262, 204.544, 1772.75, 197.987, 720.953, 47.2521
3, -89.6259, 204.545, 1772.61, 197.991, 720.817, 47.3512
3, -89.6255, 204.546, 1772.39, 197.997, 720.596, 47.4507
3, -89.625, 204.548, 1772.11, 198.006, 720.313, 47.5504
3, -89.6245, 204.549, 1771.87, 198.012, 720.078, 47.6504
3, -89.6236, 204.552, 1771.35, 198.028, 719.558, 47.8509
3, -89.6232, 204.553, 1771.12, 198.034, 719.33, 47.8509
3, -89.6228, 204.555, 1770.95, 198.04, 719.159, 47.9516
3, -89.6218, 204.556, 1770.64, 198.049, 718.848, 48.0526
3, -89.6211, 204.557, 1770.45, 198.054, 718.655, 48.1541
3, -89.6193, 204.56, 1770, 198.068, 718.206, 48.3579
3, -89.6183, 204.562, 1769.76, 198.075, 717.97, 48.3579
3, -89.6175, 204.563, 1769.59, 198.08, 717.795, 48.4603
3, -89.6161, 204.564, 1769.29, 198.089, 717.5, 48.5628
3, -89.6149, 204.566, 1769.06, 198.095, 717.269, 48.6657
3, -89.6137, 204.567, 1768.84, 198.102, 717.054, 48.7688
3, -89.6113, 204.57, 1768.44, 198.114, 716.654, 48.8721
3, -89.6101, 204.571, 1768.25, 198.119, 716.462, 48.9755
3, -89.6085, 204.572, 1767.99, 198.127, 716.199, 49.0791
3, -89.6073, 204.574, 1767.79, 198.133, 715.998, 49.1827
3, -89.6048, 204.577, 1767.31, 198.147, 715.518, 49.2864
3, -89.6038, 204.578, 1767.07, 198.155, 715.276, 49.3901
3, -89.6031, 204.579, 1766.87, 198.16, 715.077, 49.4939
3, -89.6025, 204.581, 1766.67, 198.166, 714.878, 49.598
3, -89.6019, 204.582, 1766.41, 198.174, 714.624, 49.7021
3, -89.6013, 204.585, 1765.93, 198.188, 714.139, 49.8063
3, -89.6014, 204.586, 1765.75, 198.194, 713.961, 49.911
3, -89.6018, 204.588, 1765.47, 198.202, 713.686, 50.0161
3, -89.6026, 204.59, 1765.21, 198.21, 713.417, 50.1218
3, -89.6034, 204.591, 1765.02, 198.216, 713.228, 50.2279
3, -89.6058, 204.594, 1764.59, 198.228, 712.803, 50.3343
3, -89.608, 204.596, 1764.3, 198.237, 712.515, 50.4409
3, -89.6106, 204.598, 1764, 198.246, 712.216, 50.5477
3, -89.6119, 204.598, 1763.85, 198.251, 712.064, 50.6546
3, -89.6143, 204.6, 1763.56, 198.259, 711.767, 50.7617
3, -89.6175, 204.603, 1763.15, 198.271, 711.366, 50.8688
3, -89.6199, 204.605, 1762.88, 198.279, 711.092, 50.976
3, -89.6223, 204.606, 1762.62, 198.287, 710.832, 51.0835
3, -89.6235, 204.607, 1762.49, 198.291, 710.7, 51.1912
3, -89.6259, 204.609, 1762.21, 198.299, 710.425, 51.2991
3, -89.6298, 204.611, 1761.78, 198.312, 709.992, 51.4071
3, -89.6323, 204.613, 1761.46, 198.321, 709.676, 51.5153
3, -89.6341, 204.614, 1761.23, 198.328, 709.446, 51.6234
3, -89.6354, 204.616, 1761.04, 198.334, 709.255, 51.7316
3, -89.637, 204.617, 1760.78, 198.341, 708.996, 51.8399
3, -89.6398, 204.62, 1760.27, 198.356, 708.48, 52.0562
3, -89.641, 204.622, 1759.99, 198.365, 708.202, 52.0562
3, -89.6415, 204.622, 1759.85, 198.369, 708.064, 52.1644
3, -89.643, 204.625, 1759.44, 198.38, 707.658, 52.2726
3, -89.6438, 204.626, 1759.17, 198.389, 707.381, 52.3808
3, -89.6443, 204.627, 1758.98, 198.394, 707.194, 52.489
3, -89.6457, 204.63, 1758.54, 198.407, 706.75, 52.5975
3, -89.6466, 204.631, 1758.29, 198.414, 706.503, 52.7062
3, -89.6478, 204.633, 1757.99, 198.423, 706.207, 52.815
3, -89.6485, 204.634, 1757.82, 198.428, 706.034, 52.9239
3, -89.6496, 204.635, 1757.57, 198.435, 705.787, 53.033
3, -89.6519, 204.638, 1757.04, 198.45, 705.259, 53.251
3, -89.653, 204.64, 1756.8, 198.458, 705.014, 53.251
3, -89.654, 204.641, 1756.58, 198.464, 704.792, 53.3598
